datetime,sentiment_score
2025-04-28 09:00:00,0.9991
2025-04-28 09:00:00,0.9937
2025-04-28 09:00:00,0.9882
2025-04-28 09:00:00,-0.7003
2025-04-28 09:00:00,0.4215
2025-04-28 09:00:00,0.9651
2025-04-28 09:00:00,0.9979
2025-04-28 09:00:00,0.9925
2025-04-28 09:00:00,0.9911
2025-04-28 09:00:00,0.9951
2025-04-28 09:00:00,0.0
2025-04-28 09:00:00,0.8977
2025-04-28 09:00:00,0.9991
2025-04-28 09:00:00,0.9931
2025-04-28 12:51:00,0.9442
2025-04-28 13:02:00,0.8572
2025-04-28 13:31:00,-0.0567
2025-04-28 13:47:00,0.9924
2025-04-28 13:51:00,-0.8627
2025-04-28 13:54:00,0.9981
2025-04-28 14:01:00,0.9904
2025-04-28 14:06:00,0.9217
2025-04-28 14:24:00,0.9962
2025-04-28 14:29:00,0.8173
2025-04-28 14:45:00,0.34
2025-04-28 15:00:00,0.9865
2025-04-28 15:03:00,0.4005
2025-04-28 15:09:00,0.997
2025-04-28 15:16:00,0.9267
2025-04-28 15:25:00,0.9964
2025-04-28 15:36:00,0.9633
2025-04-28 15:49:00,0.7346
2025-04-28 15:52:00,0.4215
2025-04-28 15:55:00,0.9894
2025-04-28 15:57:00,0.9738
2025-04-28 16:00:00,0.9987
2025-04-28 16:04:00,0.4939
2025-04-28 16:16:00,0.9594
2025-04-28 16:29:00,-0.9504
2025-04-28 16:36:37,0.9991
2025-04-28 16:49:00,0.7089
2025-04-28 17:39:00,-0.4939
2025-04-28 17:59:00,0.9726
2025-04-28 18:36:00,0.0
2025-04-28 18:39:00,0.9901
2025-04-28 18:58:00,0.936
2025-04-28 19:14:00,0.9817
2025-04-28 19:15:00,0.0
2025-04-28 19:45:00,0.7082
2025-04-28 19:46:00,0.9703
2025-04-28 19:55:00,0.9897
2025-04-28 20:01:00,-0.9934
2025-04-28 20:06:00,0.9871
2025-04-28 20:07:00,0.9801
2025-04-28 20:12:00,0.34
2025-04-28 20:23:00,0.2023
2025-04-28 20:27:00,0.5859
2025-04-28 20:35:00,0.8271
2025-04-28 20:35:00,-0.3626
2025-04-28 20:46:00,0.9963
2025-04-28 20:57:00,0.4215
2025-04-28 20:57:00,0.9712
2025-04-28 21:01:00,0.9862
2025-04-28 21:07:00,0.9896
2025-04-28 21:23:00,0.9099
2025-04-28 21:42:00,0.997
2025-04-28 22:25:00,0.932
2025-04-28 22:50:00,0.9966
2025-04-28 23:08:00,0.1901
2025-04-28 23:15:00,0.9808
2025-04-29 00:07:00,0.0
2025-04-29 00:33:00,0.9553
2025-04-29 02:06:00,0.9687
2025-04-29 06:02:44,0.9877
2025-04-29 07:06:00,-0.3291
2025-04-29 07:10:58,0.9992
2025-04-29 07:10:58,0.9991
2025-04-29 07:10:58,0.9989
2025-04-29 07:10:58,0.9994
2025-04-29 07:46:55,0.9988
2025-04-29 07:46:58,0.9991
2025-04-29 07:46:58,0.9988
2025-04-29 07:46:58,0.9989
2025-04-29 07:46:59,0.9986
2025-04-29 07:47:01,0.9988
2025-04-29 07:51:00,0.9985
2025-04-29 08:15:00,0.9988
2025-04-29 08:25:00,0.9947
2025-04-29 08:45:00,0.9921
2025-04-29 09:30:00,0.7425
2025-04-29 09:32:00,0.9969
2025-04-29 10:30:00,0.9995
2025-04-29 10:30:00,0.9706
2025-04-29 11:09:35,0.743
2025-04-29 12:00:55,0.9956
2025-04-29 12:11:00,0.9874
2025-04-29 12:11:00,0.9978
2025-04-29 12:18:00,0.6249
2025-04-29 12:29:58,0.955
2025-04-29 12:30:27,1.0
2025-04-29 13:00:13,0.9984
2025-04-29 13:21:08,0.9844
2025-04-29 13:36:12,0.9635
2025-04-29 13:36:55,0.9905
2025-04-29 13:37:00,0.998
2025-04-29 13:54:58,0.9942
2025-04-29 14:09:28,0.9719
2025-04-29 14:16:50,0.9565
2025-04-29 14:41:24,0.9824
2025-04-29 14:45:00,0.0
2025-04-29 14:53:22,0.5106
2025-04-29 15:04:20,0.9805
2025-04-29 15:11:42,0.4939
2025-04-29 15:38:16,0.9985
2025-04-29 15:53:57,0.9314
2025-04-29 16:36:34,0.8519
2025-04-29 17:19:42,0.4939
2025-04-29 17:29:39,0.9943
2025-04-29 17:32:35,0.7269
2025-04-29 18:25:16,0.4529
2025-04-29 19:00:00,0.9971
2025-04-29 19:58:48,0.9516
2025-04-29 20:19:00,0.6249
2025-04-29 20:29:37,0.9471
2025-04-29 20:43:32,0.9983
2025-04-29 20:46:43,0.9898
2025-04-29 20:48:39,0.9746
2025-04-29 20:57:02,0.8934
2025-04-29 21:01:00,0.2006
2025-04-29 21:05:29,0.9953
2025-04-29 21:08:53,-0.981
2025-04-29 21:26:32,0.7184
2025-04-29 21:30:40,0.9673
2025-04-29 21:39:24,0.0772
2025-04-29 21:39:24,0.0772
2025-04-29 21:45:16,0.9943
2025-04-29 21:47:21,0.4672
2025-04-29 23:30:26,0.9964
2025-04-30 01:55:25,0.9467
2025-04-30 03:17:07,0.9623
2025-04-30 05:51:12,0.9989
2025-04-30 07:09:00,0.9919
2025-04-30 07:11:31,0.9946
2025-04-30 07:46:52,0.9986
2025-04-30 07:46:53,0.998
2025-04-30 08:05:55,0.9962
2025-04-30 08:10:00,0.9954
2025-04-30 08:15:00,0.9966
2025-04-30 08:50:00,0.9889
2025-04-30 08:58:00,0.9997
2025-04-30 09:00:00,0.99
2025-04-30 09:12:48,0.999
2025-04-30 09:12:50,0.999
2025-04-30 09:12:51,0.9989
2025-04-30 09:12:51,0.9989
2025-04-30 09:12:53,0.9988
2025-04-30 09:12:54,0.999
2025-04-30 09:12:54,0.999
2025-04-30 09:12:55,0.9991
